id,area_code,outage_duration,broadband_type,outage_type,log_report_type,volume,transit_server_type,Bandwidth,Speed_var_over_dist
13965,area_794,0,ADSL1,outage_type_1,log_report_type_47,3,transit_server_type_11,1,1
4340,area_460,0,ADSL2,outage_type_2,log_report_type_232,4,transit_server_type_34,2,1
177,area_124,0,ADSL2,outage_type_2,log_report_type_232,1,transit_server_type_34,2,1
8079,area_1042,1,ADSL1,outage_type_2,log_report_type_203,2,transit_server_type_15,1,1
6249,area_466,0,ADSL2,outage_type_2,log_report_type_232,3,transit_server_type_35,2,1
13427,area_440,0,ADSL2,outage_type_1,log_report_type_135,1,transit_server_type_11,2,1
1381,area_695,1,ADSL1,outage_type_1,log_report_type_68,1,transit_server_type_11,1,1
6162,area_821,2,ADSL1,outage_type_1,log_report_type_71,2,transit_server_type_15,1,1
5720,area_906,0,ADSL2,outage_type_4,log_report_type_362,1,transit_server_type_54,2,1
1777,area_506,0,ADSL2,outage_type_2,log_report_type_312,108,transit_server_type_34,2,1
4105,area_808,0,ADSL1,outage_type_1,log_report_type_71,14,transit_server_type_15,1,1
12760,area_249,0,ADSL2,outage_type_2,log_report_type_232,2,transit_server_type_34,2,1
745,area_272,1,ADSL2,outage_type_2,log_report_type_232,1,transit_server_type_35,2,1
12608,area_429,1,ADSL1,outage_type_1,log_report_type_160,1,transit_server_type_11,1,1
10238,area_467,0,ADSL2,outage_type_2,log_report_type_307,1,transit_server_type_35,2,1
487,area_1010,0,ADSL1,outage_type_1,log_report_type_73,35,transit_server_type_11,1,1
11179,area_1107,0,ADSL1,outage_type_1,log_report_type_71,7,transit_server_type_11,1,1
3462,area_653,1,ADSL1,outage_type_2,log_report_type_82,11,transit_server_type_15,1,1
18360,area_846,0,ADSL1,outage_type_1,log_report_type_82,10,transit_server_type_15,1,1
9593,area_497,0,ADSL2,outage_type_2,log_report_type_232,3,transit_server_type_34,2,1
17821,area_648,1,Cable,outage_type_1,log_report_type_54,1,transit_server_type_23,4,0
1805,area_118,0,ADSL2,outage_type_2,log_report_type_312,19,transit_server_type_35,2,1
5923,area_831,1,ADSL1,outage_type_1,log_report_type_86,1,transit_server_type_11,1,1
17515,area_1024,2,ADSL1,outage_type_1,log_report_type_42,7,transit_server_type_11,1,1
17547,area_870,0,ADSL2,outage_type_1,log_report_type_219,1,transit_server_type_20,2,1
3607,area_883,1,ADSL1,outage_type_1,log_report_type_54,1,transit_server_type_11,1,1
2648,area_834,1,ADSL1,outage_type_2,log_report_type_203,4,transit_server_type_15,1,1
14890,area_760,0,ADSL1,outage_type_1,log_report_type_54,6,transit_server_type_11,1,1
5657,area_734,2,ADSL1,outage_type_1,log_report_type_71,1,transit_server_type_11,1,1
9125,area_793,0,ADSL1,outage_type_1,log_report_type_195,32,transit_server_type_11,1,1
17664,area_944,1,ADSL1,outage_type_1,log_report_type_68,1,transit_server_type_11,1,1
12308,area_1018,0,ADSL1,outage_type_1,log_report_type_80,2,transit_server_type_11,1,1
5738,area_471,0,ADSL2,outage_type_2,log_report_type_233,1,transit_server_type_35,2,1
17783,area_527,0,ADSL2,outage_type_2,log_report_type_232,1,transit_server_type_35,2,1
5000,area_7,0,ADSL1,outage_type_1,log_report_type_202,3,transit_server_type_11,1,1
12926,area_648,2,ADSL1,outage_type_1,log_report_type_118,2,transit_server_type_14,1,1
6595,area_803,1,ADSL1,outage_type_1,log_report_type_170,4,transit_server_type_11,1,1
16207,area_249,1,ADSL2,outage_type_1,log_report_type_312,1,transit_server_type_35,2,1
17795,area_187,1,ADSL1,outage_type_1,log_report_type_211,15,transit_server_type_11,1,1
11219,area_380,0,ADSL2,outage_type_1,log_report_type_219,6,transit_server_type_20,2,1
4271,area_821,1,ADSL1,outage_type_1,log_report_type_82,20,transit_server_type_11,1,1
7201,area_1090,2,ADSL1,outage_type_2,log_report_type_202,4,transit_server_type_11,1,1
541,area_488,0,ADSL2,outage_type_2,log_report_type_312,8,transit_server_type_34,2,1
17245,area_803,1,ADSL1,outage_type_2,log_report_type_68,1,transit_server_type_11,1,1
5229,area_496,0,ADSL2,outage_type_2,log_report_type_313,42,transit_server_type_34,2,1
13615,area_1084,1,ADSL1,outage_type_1,log_report_type_170,1,transit_server_type_11,1,1
5504,area_995,2,Fiber_Ultra,outage_type_1,log_report_type_82,39,transit_server_type_15,8,0
15694,area_506,0,ADSL2,outage_type_2,log_report_type_233,2,transit_server_type_35,2,1
13894,area_627,1,Cable,outage_type_2,log_report_type_222,1,transit_server_type_11,4,0
2199,area_161,0,ADSL2,outage_type_2,log_report_type_312,3,transit_server_type_35,2,1
15418,area_895,1,ADSL2,outage_type_1,log_report_type_375,5,transit_server_type_44,2,1
7210,area_699,0,ADSL2,outage_type_1,log_report_type_170,1,transit_server_type_11,2,1
199,area_126,0,ADSL2,outage_type_2,log_report_type_232,1,transit_server_type_34,2,1
18395,area_846,0,ADSL1,outage_type_2,log_report_type_82,20,transit_server_type_15,1,1
14106,area_852,0,ADSL2,outage_type_1,log_report_type_134,1,transit_server_type_20,2,1
8950,area_1033,1,ADSL1,outage_type_1,log_report_type_54,6,transit_server_type_11,1,1
2707,area_793,0,ADSL1,outage_type_1,log_report_type_73,114,transit_server_type_11,1,1
9500,area_465,0,ADSL2,outage_type_2,log_report_type_312,17,transit_server_type_35,2,1
7464,area_268,1,ADSL2,outage_type_2,log_report_type_227,1,transit_server_type_35,2,1
3409,area_1056,1,Fiber_High_speed,outage_type_1,log_report_type_273,2,transit_server_type_11,7,0
12711,area_451,0,ADSL2,outage_type_2,log_report_type_313,5,transit_server_type_35,2,1
5650,area_808,0,ADSL1,outage_type_1,log_report_type_193,8,transit_server_type_11,1,1
9711,area_570,1,ADSL1,outage_type_1,log_report_type_55,2,transit_server_type_11,1,1
10816,area_1007,0,ADSL1,outage_type_1,log_report_type_201,2,transit_server_type_11,1,1
4388,area_797,1,ADSL1,outage_type_1,log_report_type_170,1,transit_server_type_24,1,1
7711,area_974,0,ADSL1,outage_type_2,log_report_type_209,2,transit_server_type_11,1,1
17313,area_344,0,ADSL2,outage_type_2,log_report_type_232,2,transit_server_type_34,2,1
10280,area_388,1,ADSL2,outage_type_1,log_report_type_354,1,transit_server_type_35,2,1
7845,area_923,0,ADSL1,outage_type_2,log_report_type_73,1,transit_server_type_11,1,1
16082,area_73,0,Fiber2,outage_type_1,log_report_type_150,2,transit_server_type_10,6,0
17208,area_837,1,Cable,outage_type_1,log_report_type_222,2,transit_server_type_22,4,0
4446,area_455,0,ADSL2,outage_type_2,log_report_type_312,1,transit_server_type_35,2,1
16614,area_778,0,ADSL1,outage_type_2,log_report_type_80,2,transit_server_type_15,1,1
9974,area_773,0,ADSL1,outage_type_2,log_report_type_82,4,transit_server_type_15,1,1
16360,area_476,0,ADSL2,outage_type_2,log_report_type_232,8,transit_server_type_34,2,1
8926,area_600,0,ADSL1,outage_type_2,log_report_type_203,12,transit_server_type_15,1,1
6991,area_794,0,ADSL2,outage_type_1,log_report_type_306,1,transit_server_type_23,2,1
16507,area_81,1,BPL,outage_type_1,log_report_type_240,1,transit_server_type_27,0,1
5888,area_450,0,ADSL2,outage_type_2,log_report_type_232,2,transit_server_type_34,2,1
1855,area_662,1,ADSL1,outage_type_1,log_report_type_54,19,transit_server_type_11,1,1
7283,area_222,0,ADSL2,outage_type_2,log_report_type_232,1,transit_server_type_34,2,1
12233,area_1024,0,ADSL1,outage_type_1,log_report_type_73,19,transit_server_type_11,1,1
13062,area_704,1,ADSL1,outage_type_2,log_report_type_203,21,transit_server_type_15,1,1
16832,area_821,2,ADSL1,outage_type_2,log_report_type_71,1,transit_server_type_15,1,1
15267,area_461,0,ADSL2,outage_type_2,log_report_type_312,22,transit_server_type_35,2,1
11318,area_457,0,ADSL2,outage_type_2,log_report_type_233,35,transit_server_type_35,2,1
7400,area_886,0,ADSL2+,outage_type_1,log_report_type_68,2,transit_server_type_13,3,1
5386,area_459,0,ADSL2,outage_type_2,log_report_type_232,3,transit_server_type_35,2,1
11231,area_1006,0,ADSL1,outage_type_1,log_report_type_182,1,transit_server_type_11,1,1
14355,area_836,0,ADSL1,outage_type_1,log_report_type_195,9,transit_server_type_11,1,1
16734,area_298,0,ADSL2,outage_type_2,log_report_type_307,5,transit_server_type_35,2,1
10559,area_13,1,ADSL1,outage_type_1,log_report_type_68,2,transit_server_type_11,1,1
4692,area_375,0,ADSL2,outage_type_2,log_report_type_233,12,transit_server_type_34,2,1
13728,area_821,0,ADSL1,outage_type_1,log_report_type_82,7,transit_server_type_15,1,1
12675,area_1107,1,ADSL1,outage_type_1,log_report_type_82,37,transit_server_type_15,1,1
8647,area_696,0,ADSL1,outage_type_2,log_report_type_170,6,transit_server_type_11,1,1
2026,area_1054,1,ADSL1,outage_type_2,log_report_type_187,1,transit_server_type_11,1,1
5261,area_485,0,ADSL2,outage_type_2,log_report_type_232,5,transit_server_type_34,2,1
6732,area_1089,0,ADSL1,outage_type_1,log_report_type_54,3,transit_server_type_11,1,1
5401,area_1107,2,ADSL1,outage_type_1,log_report_type_203,26,transit_server_type_11,1,1
4689,area_980,0,ADSL2,outage_type_1,log_report_type_134,1,transit_server_type_20,2,1
13984,area_684,1,ADSL1,outage_type_2,log_report_type_203,1,transit_server_type_15,1,1
2718,area_476,0,ADSL2,outage_type_2,log_report_type_233,1,transit_server_type_34,2,1
2815,area_459,0,ADSL2,outage_type_2,log_report_type_312,3,transit_server_type_35,2,1
11493,area_135,1,ADSL2,outage_type_1,log_report_type_301,3,transit_server_type_34,2,1
17837,area_466,0,ADSL2,outage_type_2,log_report_type_234,21,transit_server_type_34,2,1
1548,area_1107,2,ADSL1,outage_type_2,log_report_type_82,4,transit_server_type_15,1,1
5703,area_846,2,ADSL1,outage_type_1,log_report_type_203,10,transit_server_type_11,1,1
13992,area_298,1,ADSL2,outage_type_2,log_report_type_312,20,transit_server_type_35,2,1
5237,area_973,0,ADSL2,outage_type_1,log_report_type_219,1,transit_server_type_20,2,1
10693,area_240,0,ADSL2,outage_type_2,log_report_type_221,1,transit_server_type_34,2,1
17348,area_692,1,ADSL1,outage_type_1,log_report_type_54,23,transit_server_type_11,1,1
12235,area_962,1,ADSL1,outage_type_2,log_report_type_203,2,transit_server_type_15,1,1
12269,area_627,1,Cable,outage_type_1,log_report_type_222,4,transit_server_type_20,4,0
7232,area_499,0,ADSL2,outage_type_2,log_report_type_232,4,transit_server_type_34,2,1
8902,area_375,0,ADSL2,outage_type_2,log_report_type_233,24,transit_server_type_34,2,1
4880,area_471,0,ADSL2,outage_type_2,log_report_type_312,27,transit_server_type_34,2,1
9867,area_851,0,Fiber_High_speed,outage_type_1,log_report_type_345,2,transit_server_type_13,7,0
9551,area_825,1,ADSL1,outage_type_1,log_report_type_201,2,transit_server_type_11,1,1
274,area_244,0,ADSL2,outage_type_2,log_report_type_312,45,transit_server_type_34,2,1
15236,area_477,0,ADSL2,outage_type_2,log_report_type_234,36,transit_server_type_35,2,1
4970,area_794,0,ADSL1,outage_type_1,log_report_type_47,7,transit_server_type_14,1,1
3902,area_9,0,ADSL1,outage_type_1,log_report_type_193,4,transit_server_type_15,1,1
18370,area_967,0,ADSL1,outage_type_1,log_report_type_170,1,transit_server_type_11,1,1
12908,area_444,0,ADSL2,outage_type_1,log_report_type_219,1,transit_server_type_34,2,1
8481,area_1103,1,Fiber_Ultra,outage_type_1,log_report_type_141,1,transit_server_type_5,8,0
6261,area_477,0,ADSL2,outage_type_2,log_report_type_314,26,transit_server_type_35,2,1
15419,area_278,0,ADSL2,outage_type_4,log_report_type_312,1,transit_server_type_35,2,1
17042,area_478,0,ADSL2,outage_type_2,log_report_type_229,15,transit_server_type_35,2,1
17585,area_734,2,ADSL1,outage_type_2,log_report_type_203,4,transit_server_type_15,1,1
3968,area_665,0,ADSL1,outage_type_1,log_report_type_55,8,transit_server_type_11,1,1
5064,area_1090,0,ADSL1,outage_type_1,log_report_type_202,10,transit_server_type_11,1,1
379,area_742,0,ADSL1,outage_type_1,log_report_type_25,8,transit_server_type_11,1,1
10937,area_599,1,ADSL1,outage_type_2,log_report_type_82,4,transit_server_type_15,1,1
3164,area_1031,0,ADSL1,outage_type_1,log_report_type_54,18,transit_server_type_11,1,1
3225,area_1033,1,ADSL1,outage_type_1,log_report_type_86,1,transit_server_type_11,1,1
9017,area_459,0,ADSL2,outage_type_4,log_report_type_314,1,transit_server_type_35,2,1
18379,area_691,0,Cable,outage_type_2,log_report_type_197,7,transit_server_type_11,4,0
4587,area_879,0,ADSL1,outage_type_1,log_report_type_195,2,transit_server_type_11,1,1
7027,area_963,0,ADSL1,outage_type_1,log_report_type_73,35,transit_server_type_11,1,1
17772,area_257,1,ADSL1,outage_type_1,log_report_type_237,1,transit_server_type_11,1,1
9664,area_1,1,ADSL1,outage_type_2,log_report_type_198,1,transit_server_type_15,1,1
6330,area_460,1,ADSL2,outage_type_2,log_report_type_312,10,transit_server_type_35,2,1
6797,area_313,0,ADSL2,outage_type_2,log_report_type_235,1,transit_server_type_35,2,1
14289,area_763,1,ADSL1,outage_type_1,log_report_type_196,2,transit_server_type_11,1,1
16414,area_179,1,ADSL1,outage_type_1,log_report_type_181,1,transit_server_type_11,1,1
12418,area_864,1,ADSL2,outage_type_1,log_report_type_318,2,transit_server_type_24,2,1
345,area_895,1,ADSL2,outage_type_1,log_report_type_283,7,transit_server_type_43,2,1
2134,area_915,1,ADSL1,outage_type_1,log_report_type_207,1,transit_server_type_11,1,1
5500,area_477,0,ADSL2,outage_type_2,log_report_type_309,15,transit_server_type_34,2,1
134,area_892,2,ADSL2,outage_type_1,log_report_type_291,6,transit_server_type_42,2,1
18110,area_644,2,ADSL2,outage_type_1,log_report_type_291,5,transit_server_type_44,2,1
14354,area_446,1,ADSL2,outage_type_2,log_report_type_315,1,transit_server_type_35,2,1
9976,area_826,1,Fiber1,outage_type_1,log_report_type_54,11,transit_server_type_14,5,0
8577,area_1042,0,ADSL1,outage_type_2,log_report_type_82,30,transit_server_type_15,1,1
17733,area_239,1,ADSL2,outage_type_1,log_report_type_301,2,transit_server_type_20,2,1
9717,area_810,2,ADSL1,outage_type_1,log_report_type_203,15,transit_server_type_15,1,1
17291,area_481,0,ADSL2,outage_type_2,log_report_type_230,24,transit_server_type_35,2,1
3161,area_809,0,ADSL1,outage_type_2,log_report_type_71,2,transit_server_type_15,1,1
15503,area_1060,0,ADSL1,outage_type_1,log_report_type_195,1,transit_server_type_11,1,1
15239,area_7,0,ADSL1,outage_type_1,log_report_type_70,9,transit_server_type_11,1,1
9682,area_815,1,ADSL1,outage_type_1,log_report_type_167,18,transit_server_type_11,1,1
3097,area_821,2,ADSL1,outage_type_1,log_report_type_71,5,transit_server_type_11,1,1
5806,area_1063,0,ADSL1,outage_type_1,log_report_type_73,12,transit_server_type_11,1,1
9473,area_494,0,ADSL2,outage_type_2,log_report_type_312,5,transit_server_type_34,2,1
4512,area_878,0,ADSL1,outage_type_1,log_report_type_68,1,transit_server_type_11,1,1
11190,area_459,0,ADSL2,outage_type_2,log_report_type_234,2,transit_server_type_35,2,1
18507,area_429,0,ADSL2,outage_type_4,log_report_type_94,1,transit_server_type_35,2,1
8523,area_742,0,ADSL1,outage_type_1,log_report_type_111,156,transit_server_type_54,1,1
11232,area_421,0,ADSL2,outage_type_1,log_report_type_307,3,transit_server_type_34,2,1
16037,area_704,1,ADSL1,outage_type_1,log_report_type_74,4,transit_server_type_11,1,1
10653,area_802,1,Cable,outage_type_1,log_report_type_306,2,transit_server_type_13,4,0
3320,area_313,0,ADSL2,outage_type_2,log_report_type_221,1,transit_server_type_34,2,1
6839,area_763,1,ADSL1,outage_type_2,log_report_type_203,2,transit_server_type_15,1,1
5249,area_704,2,ADSL1,outage_type_2,log_report_type_82,50,transit_server_type_15,1,1
10833,area_184,1,ADSL2,outage_type_2,log_report_type_227,1,transit_server_type_34,2,1
13823,area_1022,0,ADSL1,outage_type_1,log_report_type_201,1,transit_server_type_11,1,1
10944,area_704,2,ADSL1,outage_type_1,log_report_type_80,1,transit_server_type_15,1,1
14133,area_173,0,ADSL2,outage_type_2,log_report_type_307,1,transit_server_type_34,2,1
570,area_1089,0,ADSL1,outage_type_1,log_report_type_54,2,transit_server_type_11,1,1
6988,area_408,1,ADSL2,outage_type_2,log_report_type_315,5,transit_server_type_34,2,1
14401,area_468,0,ADSL2,outage_type_2,log_report_type_312,35,transit_server_type_35,2,1
9301,area_600,2,ADSL1,outage_type_2,log_report_type_203,8,transit_server_type_15,1,1
15273,area_704,0,ADSL1,outage_type_1,log_report_type_80,3,transit_server_type_11,1,1
6224,area_1061,0,ADSL1,outage_type_2,log_report_type_82,12,transit_server_type_15,1,1
14608,area_451,0,ADSL2,outage_type_2,log_report_type_233,22,transit_server_type_35,2,1
16729,area_851,1,ADSL2+,outage_type_1,log_report_type_68,2,transit_server_type_13,3,1
2987,area_126,0,ADSL2,outage_type_2,log_report_type_312,38,transit_server_type_34,2,1
14278,area_644,0,ADSL2,outage_type_1,log_report_type_285,1,transit_server_type_47,2,1
12599,area_638,0,ADSL2,outage_type_4,log_report_type_376,4,transit_server_type_42,2,1
7484,area_202,0,ADSL2,outage_type_1,log_report_type_134,1,transit_server_type_35,2,1
10479,area_1116,0,ADSL2,outage_type_1,log_report_type_219,1,transit_server_type_20,2,1
843,area_895,2,ADSL2,outage_type_1,log_report_type_291,3,transit_server_type_42,2,1
6893,area_206,0,ADSL2,outage_type_4,log_report_type_312,1,transit_server_type_35,2,1
17334,area_124,0,ADSL2,outage_type_2,log_report_type_233,6,transit_server_type_35,2,1
12228,area_808,0,ADSL1,outage_type_1,log_report_type_193,4,transit_server_type_11,1,1
11376,area_477,0,ADSL2,outage_type_2,log_report_type_312,11,transit_server_type_35,2,1
5767,area_494,0,ADSL2,outage_type_2,log_report_type_308,3,transit_server_type_35,2,1
7747,area_393,1,ADSL2,outage_type_2,log_report_type_232,1,transit_server_type_35,2,1
17636,area_834,2,ADSL1,outage_type_2,log_report_type_82,18,transit_server_type_15,1,1
8680,area_1042,0,ADSL1,outage_type_2,log_report_type_203,2,transit_server_type_15,1,1
14044,area_962,1,ADSL1,outage_type_2,log_report_type_203,1,transit_server_type_15,1,1
5346,area_229,0,ADSL2,outage_type_2,log_report_type_314,1,transit_server_type_34,2,1
6128,area_891,0,ADSL1,outage_type_1,log_report_type_195,16,transit_server_type_11,1,1
16779,area_744,1,ADSL2+,outage_type_1,log_report_type_345,1,transit_server_type_13,3,1
465,area_684,2,ADSL1,outage_type_2,log_report_type_203,16,transit_server_type_15,1,1
13472,area_661,0,Cable,outage_type_2,log_report_type_305,2,transit_server_type_22,4,0
11739,area_95,0,ADSL2,outage_type_2,log_report_type_230,10,transit_server_type_35,2,1
14402,area_830,0,ADSL1,outage_type_1,log_report_type_68,1,transit_server_type_11,1,1
292,area_242,0,ADSL2,outage_type_2,log_report_type_309,89,transit_server_type_35,2,1
14219,area_489,0,ADSL2,outage_type_2,log_report_type_312,2,transit_server_type_35,2,1
502,area_290,0,ADSL2,outage_type_1,log_report_type_181,1,transit_server_type_11,2,1
6410,area_919,0,ADSL1,outage_type_1,log_report_type_55,2,transit_server_type_11,1,1
7989,area_584,0,ADSL1,outage_type_1,log_report_type_195,3,transit_server_type_11,1,1
11585,area_44,0,ADSL2,outage_type_4,log_report_type_365,1,transit_server_type_40,2,1
11761,area_476,0,ADSL2,outage_type_2,log_report_type_232,8,transit_server_type_34,2,1
10723,area_286,1,ADSL1,outage_type_1,log_report_type_181,1,transit_server_type_11,1,1
4929,area_691,1,Cable,outage_type_2,log_report_type_68,1,transit_server_type_11,4,0
1996,area_808,0,ADSL1,outage_type_1,log_report_type_68,1,transit_server_type_11,1,1
10510,area_518,0,ADSL2,outage_type_2,log_report_type_235,1,transit_server_type_35,2,1
16939,area_560,1,ADSL1,outage_type_1,log_report_type_79,1,transit_server_type_11,1,1
2631,area_470,0,ADSL2,outage_type_1,log_report_type_232,1,transit_server_type_34,2,1
13836,area_107,1,ADSL2,outage_type_2,log_report_type_301,1,transit_server_type_35,2,1
14467,area_1031,0,ADSL1,outage_type_2,log_report_type_54,1,transit_server_type_11,1,1
14583,area_1086,1,ADSL1,outage_type_2,log_report_type_203,8,transit_server_type_15,1,1
3989,area_380,0,ADSL2,outage_type_2,log_report_type_232,6,transit_server_type_35,2,1
11707,area_641,1,ADSL2,outage_type_1,log_report_type_283,5,transit_server_type_44,2,1
11407,area_471,0,ADSL2,outage_type_2,log_report_type_312,5,transit_server_type_35,2,1
15082,area_488,0,ADSL2,outage_type_2,log_report_type_312,16,transit_server_type_34,2,1
13362,area_878,0,ADSL1,outage_type_2,log_report_type_202,1,transit_server_type_11,1,1
12479,area_1107,1,ADSL1,outage_type_1,log_report_type_82,4,transit_server_type_11,1,1
16121,area_805,0,ADSL1,outage_type_1,log_report_type_191,2,transit_server_type_11,1,1
11421,area_885,1,ADSL1,outage_type_1,log_report_type_191,1,transit_server_type_20,1,1
13186,area_7,0,ADSL1,outage_type_1,log_report_type_70,10,transit_server_type_11,1,1
3753,area_471,0,ADSL2,outage_type_2,log_report_type_232,6,transit_server_type_35,2,1
8087,area_684,2,ADSL1,outage_type_1,log_report_type_82,88,transit_server_type_11,1,1
636,area_102,1,ADSL2,outage_type_2,log_report_type_312,1,transit_server_type_34,2,1
8672,area_494,0,ADSL2,outage_type_2,log_report_type_233,6,transit_server_type_35,2,1
6206,area_118,0,ADSL2,outage_type_2,log_report_type_232,14,transit_server_type_35,2,1
10099,area_760,1,ADSL1,outage_type_1,log_report_type_170,21,transit_server_type_11,1,1
10044,area_829,0,ADSL1,outage_type_1,log_report_type_171,1,transit_server_type_11,1,1
3742,area_960,1,ADSL2+,outage_type_1,log_report_type_304,2,transit_server_type_11,3,1
4180,area_324,0,ADSL2,outage_type_2,log_report_type_228,2,transit_server_type_34,2,1
17015,area_292,0,ADSL2,outage_type_4,log_report_type_312,1,transit_server_type_35,2,1
3512,area_145,0,ADSL2,outage_type_1,log_report_type_301,1,transit_server_type_20,2,1
8132,area_1035,1,ADSL1,outage_type_2,log_report_type_223,1,transit_server_type_23,1,1
3501,area_821,1,ADSL2,outage_type_1,log_report_type_71,4,transit_server_type_54,2,1
2302,area_644,0,ADSL2,outage_type_1,log_report_type_369,1,transit_server_type_46,2,1
14529,area_242,0,ADSL2,outage_type_2,log_report_type_314,42,transit_server_type_35,2,1
11748,area_496,0,ADSL2,outage_type_2,log_report_type_312,15,transit_server_type_35,2,1
15194,area_283,0,ADSL2,outage_type_2,log_report_type_312,3,transit_server_type_35,2,1
18525,area_810,2,ADSL1,outage_type_1,log_report_type_203,18,transit_server_type_54,1,1
17203,area_282,0,ADSL2,outage_type_4,log_report_type_313,1,transit_server_type_35,2,1
6391,area_128,0,ADSL2,outage_type_2,log_report_type_233,4,transit_server_type_34,2,1
18182,area_506,0,ADSL2,outage_type_2,log_report_type_312,9,transit_server_type_34,2,1
5587,area_1119,0,ADSL1,outage_type_1,log_report_type_87,2,transit_server_type_11,1,1
4501,area_888,0,ADSL2,outage_type_1,log_report_type_134,2,transit_server_type_20,2,1
5887,area_672,0,ADSL1,outage_type_1,log_report_type_55,2,transit_server_type_11,1,1
15988,area_1107,0,ADSL1,outage_type_1,log_report_type_71,12,transit_server_type_11,1,1
12109,area_662,0,ADSL2,outage_type_1,log_report_type_85,2,transit_server_type_11,2,1
8938,area_814,0,ADSL1,outage_type_2,log_report_type_191,2,transit_server_type_11,1,1
8929,area_834,0,ADSL1,outage_type_1,log_report_type_203,12,transit_server_type_15,1,1
831,area_126,0,ADSL2,outage_type_2,log_report_type_313,3,transit_server_type_34,2,1
17970,area_195,0,ADSL2,outage_type_1,log_report_type_134,1,transit_server_type_35,2,1
1379,area_1095,0,Fiber1,outage_type_1,log_report_type_30,1,transit_server_type_23,5,0
